"","UNIV_ROW_ID","CRSNAME1","CRSNAME2","CRSNAME3","CRSNAME4","CRSNAME5","CRSNAME6","CRSNAME7","CRSNAME8","CRSNAME9","Credit1","Credit2","Credit3","Credit4","Credit5","Credit6","Credit7","Credit8","Credit9","CRSgrade1","CRSgrade2","CRSgrade3","CRSgrade4","CRSgrade5","CRSgrade6","CRSgrade7","CRSgrade8","CRSgrade9","COHORT_YEAR","TERM_START","TERM_TO_USE","STU_RECENT_ADM_DT","HOURS_BROUGHT_TO_UNIVERSITY","ENTRY_PROGRAM_CODE","ENTRY_PROGRAM","ENTRY_COLLEGE","ENTRY_DEPARTMENT_CODE","ENTRY_DEPARTMENT","AREA_OF_STRATEGIC_EMPHASIS","PSE","GENDER","ETHNICITY","AGE_AT_ENTRY","COUNTY","COUNTY_GROUP","STATE","STATE_GROUP","NATION","NATION_GROUP","HONORS_STUDENT","FIRST_GENERATION_STUDENT","Stu_MilitaryVetBenefitDesc","MILITARY_VET_BENEFITS","Stu_MilitaryStatusDesc","MILITARY_STATUS","DISABILITY","ATHLETE","GPA_HIGHSCHOOL","APPLICANT_TIER","HIGH_SCHOOL_NAME","FIRST_FALL_PELL","FIRST_FALL_PELL_AMOUNT","FIRST_FALL_BRIGHT_FUTURES","FIRST_FALL_BRIGHT_FUTURES_AMOUNT","FIRST_FALL_ANY_LOANS","FIRST_FALL_ANY_LOANS_AMOUNT","FIRST_FALL_NEED_BASED_LOANS","FIRST_FALL_NEED_BASED_LOANS_AMOUNT","FIRST_FALL_NON_NEED_BASED_LOANS","FIRST_FALL_NON_NEED_BASED_LOANS_AMOUNT","SUBMITTED_ACT","ACT_SCORE","ACT_PROPORTION","SUBMITTED_SAT","SAT_SCORE","SAT_PROPORTION","BEST_TEST","AP_CREDITS","ATTENDED_SECOND_FALL_TERM","GPA_ENTERING_SECOND_FALL","APR","FIRST_FALL_GPA","NOTES"
"1",970197274,"ENC1101","EVR2001","SOW2192","SYG2000","","","","","","3","3","3","3","","","","","","F","F","B-","C-","","","","","",20152016,201505,201508,201508,6,"U-HOS-BS-00","Guest Experience Management","COB","Global Hosp & Tourism Mgmt","Global Hospitality and Tourism Management","Not Available","NO","Female","White",27,"Duval","Other Florida Counties","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.18,5,"Westside High School","No",0,"No",0,"Yes",3464,"Yes",3464,"No",0,"Yes",22.25,0.570312,"Yes",990,0.491666,"ACT",0,"No",1.1,"No",1.1,""
"2",970214056,"CHM1020","ENC1101","MAT1033","SYG2000","","","","","","3","3","4","3","","","","","","B+","A","C","A","","","","","",20152016,201505,201508,201508,0,"U-CRJ-BA-00","Criminal Justice","CEPS","Criminal Justice","Criminal Justice","Not Available","NO","Male","Hispanic",26,"Okaloosa","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Veteran (Service on or after 9-11-2001)","Military Status","Yes","No",3.6,4,"Deltona High School","Yes",626,"No",0,"No",0,"No",0,"No",0,"Yes",20.5,0.515625,"Yes",940,0.45,"ACT",0,"No",3.223076,"No",3.223076,""
"3",970247054,"BSC1085","BSC1085L","ENC1101","MAT1033","PSY2012","","","","","3","1","3","4","3","","","","","C","B","A","A","B+","","","","",20162017,201605,201608,201608,5,"U-NUR-BSN-01","BSN","UKCOH","Nursing","Nursing","Health","YES","Male","White",27,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Post-9/11 GI Bill","Receiving Benefits","Veteran (Service on or after 9-11-2001)","Military Status","No","No",3.7,4,"J M Tate High School","Yes",8199,"No",0,"No",0,"No",0,"No",0,"Yes",22.25,0.570312,"No",0,0,"ACT",0,"Yes",3.552777,"Yes",3.35,""
"4",970262635,"BSC1005","BSC1005L","ENC1101","MUH2930","PSY2012","","","","","2","1","3","3","3","","","","","A","A","A","A-","A","","","","",20152016,201505,201508,201508,0,"U-PSY-BA-00","Psychology","UKCOH","Psychology","Psychology","Not Available","NO","Female","White",25,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.86,3,"Home School - Florida","Yes",6652,"No",0,"Yes",18800,"Yes",6928,"Yes",11872,"Yes",23,0.59375,"No",0,0,"ACT",0,"Yes",3.554838,"Yes",3.925,""
"5",970267457,"ANT2100","COP2253","LIT2000","MAC1105","","","","","","3","3","3","3","","","","","","B+","B","B+","A","","","","","",20152016,201505,201508,201508,30,"U-CPS-BS-01","Computer Information Systems","HMCSE","Computer Science","Computer Science","STEM","YES","Male","African American",47,"Okaloosa","Tri-County","Florida","Florida","United States","USA","No","No","Montgomery GI Bill - Active Duty","Receiving Benefits","Veteran (Service Date Unknown)","Military Status","No","No",2.53,5,"Not Available","No",0,"No",0,"No",0,"No",0,"No",0,"No",0,0,"Yes",1250,0.708333,"SAT",0,"Yes",3.635714,"Yes",3.4,""
"6",970293781,"BSC1005","BSC1005L","ENC1102","PHI2010","PSY2012","STA2023","","","","2","1","3","3","3","3","","","","A","A","A-","A","A-","A","","","",20152016,201505,201508,201508,35,"U-PSY-BA-00","Psychology","UKCOH","Psychology","Psychology","Not Available","NO","Male","African American",22,"Okaloosa","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.38,1,"Crestview Senior High School","Yes",2888,"No",0,"Yes",2226,"Yes",2226,"No",0,"Yes",31.5,0.859375,"No",0,0,"ACT",32,"Yes",3.796969,"Yes",3.88,""
"7",970295713,"ECO2023","ENC1101","FIN2104","THE2000","","","","","","3","3","3","3","","","","","","D+","D","F","B+","","","","","",20152016,201505,201508,201508,26,"U-POL-BA-01","Pre-Law","CASSH","Government","Government","Not Available","NO","Male","Non-Resident Alien",20,"Santa Rosa","Tri-County","Florida","Florida","Ecuador","Non-USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.07,4,"Pace High School","Yes",6339,"No",0,"Yes",8166,"Yes",5196,"Yes",2970,"Yes",23.75,0.617187,"No",0,0,"ACT",0,"No",1.4,"No",1.4,""
"8",970309358,"IDH1040","PHI2010","POS2041","SLS1990","","","","","","3","3","3","3","","","","","","B-","B","B-","D","","","","","",20162017,201605,201608,201608,0,"U-POL-BA-01","Pre-Law","CASSH","Government","Government","Not Available","NO","Male","White",22,"Escambia","Tri-County","Florida","Florida","United States","USA","Yes","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.01,3,"Non-Florida High School","Yes",2883,"No",0,"Yes",2722,"Yes",1732,"Yes",990,"Yes",26,0.6875,"No",0,0,"ACT",0,"No",NA,"No",2.35,""
"9",970312603,"AML2010","BSC2010","BSC2010L","BSC2844","ENC1101","MAC1147","","","","3","3","1","1","3","4","","","","A","B","C","C","C+","C+","","","",20172018,201705,201708,201708,6,"U-BMD-BS-00","Biomedical Sciences","HMCSE","Biology","Biology","STEM","YES","Female","White",23,"Escambia","Tri-County","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",4.3,2,"Milton High School","Yes",8880,"No",0,"Yes",5196,"Yes",5196,"No",0,"Yes",26.5,0.703125,"No",0,0,"ACT",0,"No",2.74,"No",2.74,""
"10",970325828,"BSC2010","BSC2010L","GEA2000","LIT2000","MUH2930","","","","","3","1","3","3","3","","","","","W","W","A","A","A","","","","",20162017,201605,201608,201608,18,"U-BLY-BS-00","General Biology","HMCSE","Biology","Biology","STEM","YES","Male","White",19,"Clay","Other Florida Counties","Florida","Florida","United States","USA","No","No","Not Applicable","Not Applicable","No Military Status","No Military Status","No","No",3.83,3,"Oakleaf High School","No",0,"No",0,"Yes",8773,"Yes",1343,"Yes",7430,"Yes",23,0.59375,"Yes",1010,0.508333,"ACT",0,"Yes",3.622222,"Yes",4,""
