"","X.1","X","Gender","County","Ethnicity","college","Stu_Department","ResidenceHall","Stu_DivisionCode","Stu_MajorDesc","UniPriorhours","UWFpriorhours","averageGPA1stFall","rankGPA1stFall","Stu_GPAGradePoints","GPA1stFall"
"1",1,1,"Female","Clay","White","Business","Management & MIS","Heritage Hall","L","General Business",0,0,"Below2.7","under2.0",27.2,1.94285714285714
"2",2,2,"Female","St. Johns","White","Health","Exercise Sci & Community Hlth","Heritage Hall","L","Athletic Training Ed--PENDING",0,0,"Above2.7","above2.3",45.1,3.46923076923077
"3",3,3,"Female","Manatee","Hispanic","Education and Professional Studies","Teacher Ed & Ed Leadership","Martin Hall","L","Elementary Education--PENDING",16,0,"Above2.7","above2.3",43,3.30769230769231
"4",4,4,"Male","Santa Rosa","Hispanic","Arts, Social Sciences and Humanities","Government","Pace Hall","U","Political Science Pre-Law",69,9,"Below2.7","above2.3",39.9,2.66
"5",5,5,"Male","Okaloosa","White","No College Designated","Undeclared","Argo Hall","L","Undecided",6,0,"Above2.7","above2.3",35.7,2.74615384615385
"6",6,6,"Female","Non-USA","Non-Resident Alien","Science and Engineering","Biology","Argo Hall","L","Marine Biology",0,0,"Above2.7","above2.3",48.9,3.76153846153846
"7",7,7,"Female","Broward","White","Health","Psychology","Martin Hall","L","Psychology",0,0,"Below2.7","above2.3",31.2,2.6
"8",8,8,"Male","Leon","Asian","Science and Engineering","Electrical & Computer Engineer","Martin Hall","L","Mechanical Engineering",12,0,"Below2.7","under2.0",24,1.84615384615385
"9",9,9,"Female","Orange","White","Science and Engineering","Biology","Pace Hall","L","Marine Biology",18,0,"Above2.7","above2.3",32.9,2.99090909090909
"10",10,10,"Female","Santa Rosa","White","Health","Nursing","Heritage Hall","L","Pre-BSN",7,7,"Below2.7","under1.5",16,1.23076923076923
"11",11,11,"Female","Okaloosa","White","Education and Professional Studies","Criminal Justice","Commuter","L","Criminal Justice",54,0,"Above2.7","above2.3",42,3.5
"12",12,12,"Male","Escambia","Two or More","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Pre-Electrical Engineering",0,0,"Below2.7","above2.3",33.9,2.42142857142857
"13",13,13,"Male","Okaloosa","White","Science and Engineering","Earth & Environmental Sciences","Commuter","L","Natural Science",25,0,"Above2.7","above2.3",61.7,3.62941176470588
"14",14,14,"Male","Santa Rosa","White","Business","Accounting & Finance","Commuter","L","Finance",0,0,"Above2.7","above2.3",51.9,3.46
"15",15,15,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Software Engineering",3,0,"Above2.7","above2.3",51.1,3.93076923076923
"16",16,16,"Female","Santa Rosa","White","Business","Management & MIS","Commuter","L","General Business",62,0,"Below2.7","under2.0",21,1.75
"17",17,17,"Female","Okaloosa","Two or More","Arts, Social Sciences and Humanities","Art","Commuter","L","Digital Art--PENDING",60,0,"Below2.7","under2.3",26.1,2.175
"18",18,18,"Female","Santa Rosa","White","Education and Professional Studies","Criminal Justice","Commuter","L","Criminal Justice",30,0,"Below2.7","Under1.0",9.9,0.825
"19",19,19,"Female","Bay","White","Science and Engineering","Biology","Martin Hall","L","Biology",30,0,"Above2.7","above2.3",44.4,3.41538461538462
"20",20,20,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Electrical Engineering",6,0,"Above2.7","above2.3",35.8,2.75384615384615
"21",21,21,"Male","Okaloosa","Two or More","Science and Engineering","Computer Science","Southside building 26","L","Computer Science",30,0,"Below2.7","above2.3",21,2.33333333333333
"22",22,22,"Female","Hillsborough","Hispanic","Science and Engineering","Biology","Argo Hall","L","Preprofessional Biology",0,0,"Below2.7","above2.3",36,2.57142857142857
"23",23,23,"Female","Escambia","White","Health","Psychology","Pace Hall","L","Psychology",10,0,"Below2.7","above2.3",39,2.6
"24",24,24,"Female","Escambia","White","Science and Engineering","Biology","Heritage Hall","L","Preprofessional Biology",0,0,"Below2.7","under2.3",28.4,2.18461538461538
"25",25,25,"Female","Flagler","White","Arts, Social Sciences and Humanities","Art","Commuter","L","Graphic Design",31,0,"Above2.7","above2.3",47.1,3.925
"26",26,26,"Female","Walton","White","Health","Psychology","Commuter","U","Psychology B.S.",81,0,"Above2.7","above2.3",47.1,3.925
"27",27,27,"Male","Leon","White","Business","Accounting & Finance","Commuter","L","Professional Accountancy",39,39,"Above2.7","above2.3",48,4
"28",28,28,"Male","Duval","African American","Arts, Social Sciences and Humanities","History","Argo Hall","L","History",6,6,"Below2.7","above2.3",30.1,2.31538461538462
"29",29,29,"Female","Orange","White","Science and Engineering","Biology","Argo Hall","L","Biology",21,0,"Above2.7","above2.3",47.3,3.37857142857143
"30",30,30,"Female","Escambia","Asian","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Above2.7","above2.3",42.9,3.06428571428571
"31",31,31,"Male","Okaloosa","Asian","Business","Mktg, Sply Chain Logis & Econ","Commuter","L","Comprehensive Economics",30,0,"Above2.7","above2.3",48,4
"32",32,32,"Female","Escambia","Two or More","Health","Nursing","Pace Hall","L","Pre-BSN",22,0,"Above2.7","above2.3",52,3.25
"33",33,33,"Female","Escambia","Hispanic","Science and Engineering","Biology","Commuter","L","Biology",37,0,"Above2.7","above2.3",55.8,3.72
"34",34,34,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Biology",9,0,"Below2.7","under2.0",21.1,1.50714285714286
"35",35,35,"Female","Clay","White","Science and Engineering","Biology","Martin Hall","L","Biology",15,0,"Above2.7","above2.3",39.2,3.01538461538462
"36",36,36,"Female","Non-Florida","Hispanic","Health","Nursing","Pace Hall","L","Pre-BSN",0,0,"Below2.7","Under1.0",0,0
"37",37,37,"Male","Brevard","Two or More","Science and Engineering","Mechanical Engineering","Martin Hall","L","Mechanical Engineering",0,0,"Above2.7","above2.3",38.3,2.94615384615385
"38",38,38,"Female","Escambia","White","Health","Exercise Sci & Community Hlth","Commuter","L","Athletic Training Ed--PENDING",0,0,"Above2.7","above2.3",49.9,3.83846153846154
"39",39,39,"Female","Non-USA","Non-Resident Alien","Business","Mktg, Sply Chain Logis & Econ","Heritage Hall","L","Sales Management",0,0,"Above2.7","above2.3",36.9,3.075
"40",40,40,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Marine Biology",12,0,"Above2.7","above2.3",41.2,2.94285714285714
"41",41,41,"Female","Santa Rosa","Two or More","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Below2.7","above2.3",32,2.46153846153846
"42",42,42,"Female","Escambia","Two or More","Health","Psychology","Presidents Hall","L","Psychology B.S.",59,6,"Above2.7","above2.3",34.1,3.1
"43",43,43,"Male","Duval","African American","Education and Professional Studies","Criminal Justice","Martin Hall","L","Criminal Justice",3,0,"Below2.7","Under1.0",9,0.692307692307692
"44",44,44,"Female","Hillsborough","African American","Health","Nursing","Argo Hall","L","Pre-BSN",0,0,"Below2.7","above2.3",33,2.53846153846154
"45",45,45,"Female","Non-Florida","White","Science and Engineering","Biology","Martin Hall","L","Marine Biology",7,0,"Below2.7","under2.3",18,2
"46",46,46,"Male","Santa Rosa","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",50,50,"Below2.7","under2.0",23.1,1.925
