"","STU_ID","UWFGPA1stYear","Prior_Hours","StartMajor","ReStartMajor","Gender","Ethnicity","ReEthnicity","County","ReCounty","FirstMathCrs","ReFirstMathCrs","FirstMathCrsGrade","UWFHour1stTerm","UWFGPA1stTerm","Drop1stYear","GPA_HIGHSCHOOL","ENC1101","ENC1101grade","CHM2045","CHM2045grade","BSC2010","BSC2010grade","BSC2844","BSC2844grade","PSY2012","PSY2012grade","X","Cohort","Term","FirstTermCRSs","FristTermGrades","DEPTCode"
"1","00E78B08E85793CAE9F387C940E50FEBF2D04BE1",3.465714286,25,"Natural Science","Natural Science","M","White","White","OKAL","OKAL","MAC1147","MAC1147","A",17,3.629411765,"Retained",4.12,"Others","Others","CHM2045","A-","Others","Others","Others","Others","Others","Others",1,"2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","ART1015C_CHM2045_CHM2045L_ENC1102_LIT2000","B_A-_A-_A_B+","ART_CHM_CHM_EF_EF"
"2","00FACE5E51496B9410FA149CA34B5BD708BFA244",3.634615385,3,"Software Engineering","Software Engineering","M","White","White","ESCA","ESCA","MAC1147","MAC1147","A",13,3.930769231,"Retained",3.47,"ENC1101","A","Others","Others","Others","Others","Others","Others","PSY2012","A-",2,"2017_2017_2017","Fall 2017_Fall 2017_Fall 2017","COP2253_ENC1101_PSY2012","A_A_A-","SS_EF_PSY"
"3","018F7B70D246A9DE25181488372B5622947367E9",3.79,37,"Biology","Biology","F","Hispanic","Hispanic","ESCA","ESCA","MAC2311","MAC2311","A",15,3.72,"Retained",4,"Others","Others","CHM2045","B+","BSC2010","A","Others","Others","Others","Others",3,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_CHM2045_CHM2045L_HSC3535","A_A_B+_A_B+","BY_BY_CHM_CHM_AHLS"
"4","01B8BF0D0D682B3772D60F379E7074645153C44C",2.873333333,0,"Mechanical Engineering","Mechanical Engineering","M","Two or More","Two or More","BREV","Others","MAC1147","MAC1147","B",13,2.946153846,"Retained",3.46,"ENC1101","B","CHM2045","C","Others","Others","Others","Others","Others","Others",4,"2018_2018_2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018_Fall 2018","AFR1101_AFR1101L_CHM2045_CHM2045L_EGS1006_ENC1101","A_XX_C_B+_A_B","AFR_AFR_CHM_CHM_MEC_EF"
"5","01DE7D50075BFFD6C13DB093E9E3355F930538DE",2.628571429,0,"Biomedical Sciences","Biomedical Sciences","F","Two or More","Two or More","SANT","SANT","MAC1105","MAC1105","D",13,2.461538462,"Retained",4.11,"ENC1101","B","Others","Others","BSC2010","C+","Others","Others","PSY2012","A-",5,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BSC2010_BSC2010L_ENC1101_PSY2012","C+_C_B_A-","BY_BY_EF_PSY"
"6","01F0C75E68A3DEC6F98AE5B07FD61765AF0BA481",2.025,7,"Marine Biology","Marine Biology","F","White","White","NFLA","NFLA","MAC1105C","MAC1105C","B",9,2,"Retained",2.6,"ENC1101","W","Others","Others","BSC2010","C","Others","Others","Others","Others",6,"2017_2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017_Fall 2017","BSC2010_BSC2010L_ENC1101_SLS1109_SYG2010","C_F_W_F_W","BY_BY_EF_SLS_ANT"
"7","01F56EA95CBEDA5C532D8C4C7804B0AA821C19F1",3.030985915,50,"Cybersecurity","Cybersecurity","M","White","White","SANT","SANT","NoAttempt","NoAttempt","NoAttempt",12,1.925,"Retained",4.02,"Others","Others","Others","Others","Others","Others","Others","Others","Others","Others",7,"2017_2017_2017","Fall 2017_Fall 2017_Fall 2017","CDA3101_CNT4007_COP4710","D_C-_C","SS_SS_SS"
"8","01F5C0D43045941802EC883069FDBA3CECE1291C",3.253846154,60,"Mechanical Engineering","Mechanical Engineering","M","White","White","WALT","WALT","MAC2311","MAC2311","C-",8,2.8125,"Retained",4.49,"Others","Others","Others","Others","Others","Others","Others","Others","Others","Others",8,"2018_2018_2018_2018","Fall 2018_Fall 2018_Fall 2018_Fall 2018","BCN4701_EEL3701_EEL3701L_EGS1006","A_W_W_A-","LPS_ECP_ECP_MEC"
"9","027373C8981B196AB759EE0012E8E4435585441D",3.153846154,9,"Electrical Engineering","Electrical Engineering","M","White","White","SANT","SANT","MAC1147","MAC1147","B+",12,3.233333333,"Retained",3.75,"ENC1101","B+","CHM2045","B","Others","Others","Others","Others","Others","Others",9,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","CHM2045_CHM2045L_EGS1006_ENC1101","B_A-_B_B+","CHM_CHM_MEC_EF"
"10","02977CF46BCA7ABE811134CF58ACE5F988995CD1",0,44,"Mechanical Engineering","Mechanical Engineering","M","White","White","DUVA","DUVA","MAC2311","MAC2311","A",12,3.666666667,"Dropped",3.6,"Others","Others","CHM2045","B","Others","Others","Others","Others","Others","Others",10,"2017_2017_2017_2017","Fall 2017_Fall 2017_Fall 2017_Fall 2017","ANT3212_CHM2045_CHM2045L_EGS1006","A_B_A_B","ANT_CHM_CHM_MEC"
